"NAME","GS.br..follow.link.to.MSigDB","GS.DETAILS","SIZE","ES","NES","NOM.p.val","FDR.q.val","FWER.p.val","RANK.AT.MAX","LEADING.EDGE","X","direction","Database"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","Details ...",17,0.81496924,2.3503008,0,0,0,2353,"tags=76%, list=11%, signal=86%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",39,0.63229656,2.3454735,0,0,0,4293,"tags=69%, list=21%, signal=87%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","Details ...",30,0.6843371,2.3417141,0,0,0,3363,"tags=63%, list=16%, signal=76%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",40,0.63078743,2.309737,0,0,0,5230,"tags=78%, list=25%, signal=104%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_CELL_CYCLE","KEGG_CELL_CYCLE","Details ...",118,0.512523,2.297048,0,0,0,2948,"tags=42%, list=14%, signal=48%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","Details ...",15,0.823287,2.2912312,0,0,0,2353,"tags=67%, list=11%, signal=75%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","Details ...",191,0.47713658,2.2845635,0,0,0,4117,"tags=51%, list=20%, signal=63%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",39,0.62654144,2.2685173,0,0,0,4293,"tags=67%, list=21%, signal=84%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",38,0.62722147,2.2570968,0,0,0,4293,"tags=68%, list=21%, signal=86%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION","KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION","Details ...",22,0.7182287,2.2308316,0,0.00011666666,0.001,2812,"tags=68%, list=14%, signal=79%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",35,0.6325045,2.2119908,0,0.00010769231,0.001,4293,"tags=74%, list=21%, signal=94%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",35,0.63794893,2.2039135,0,1e-04,0.001,4293,"tags=74%, list=21%, signal=94%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","Details ...",17,0.75459373,2.1739573,0,0.00017287879,0.002,3911,"tags=82%, list=19%, signal=102%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","Details ...",17,0.7413708,2.173646,0,0.00016207386,0.002,2566,"tags=59%, list=12%, signal=67%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","Details ...",15,0.77054435,2.1404874,0,0.00029968235,0.004,1793,"tags=67%, list=9%, signal=73%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","Details ...",57,0.53893495,2.12995,0,0,0,2984,"tags=46%, list=15%, signal=53%",NA,"Up_in_Tumor","Hallmark"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME","Details ...",110,0.48363063,2.1108415,0,0.00035897436,0.002,4770,"tags=45%, list=23%, signal=59%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I","Details ...",38,0.5801008,2.083532,0,0.00034932117,0.005,6486,"tags=71%, list=32%, signal=104%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","Details ...",139,0.45420274,2.080878,0,0,0,4141,"tags=45%, list=20%, signal=55%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE","KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE","Details ...",19,0.6730969,2.0642629,0,0.0006822374,0.01,3056,"tags=53%, list=15%, signal=62%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","Details ...",26,0.63123816,2.064097,0,0.00064812554,0.01,4362,"tags=65%, list=21%, signal=83%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","",39,0.5830649,2.060028,0,0.0007446562,0.012,5657,"tags=64%, list=28%, signal=88%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC","KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC","",17,0.6971369,2.0499182,0,0.0009640256,0.015,1690,"tags=47%, list=8%, signal=51%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_PROTEIN_EXPORT","KEGG_PROTEIN_EXPORT","Details ...",22,0.6443622,2.0367992,0,0.00095276936,0.006,3927,"tags=64%, list=19%, signal=79%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MISMATCH_REPAIR","KEGG_MISMATCH_REPAIR","Details ...",23,0.641416,1.9974098,0,0.0010608776,0.008,4362,"tags=65%, list=21%, signal=83%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","",45,0.53957415,1.9965664,0,0.00223773,0.039,5657,"tags=62%, list=28%, signal=86%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","",21,0.6491,1.9922304,0,0.0023082108,0.042,1690,"tags=38%, list=8%, signal=41%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Details ...",105,0.44432196,1.9786875,0,0.00025714288,0.001,4887,"tags=50%, list=24%, signal=65%",NA,"Up_in_Tumor","Hallmark"
"KEGG_HOMOLOGOUS_RECOMBINATION","KEGG_HOMOLOGOUS_RECOMBINATION","Details ...",24,0.60789007,1.9620295,0,0.0014179643,0.011,3363,"tags=50%, list=16%, signal=60%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","",39,0.5350629,1.9356005,0,0.004019093,0.076,5657,"tags=62%, list=28%, signal=85%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I","",39,0.50360596,1.8685656,0,0.008804282,0.159,5657,"tags=62%, list=28%, signal=85%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_PYRIMIDINE_METABOLISM","KEGG_PYRIMIDINE_METABOLISM","Details ...",95,0.42886272,1.8670018,0,0.004069404,0.035,4698,"tags=45%, list=23%, signal=58%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING","KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING","",20,0.59562254,1.8554586,0,0.009900737,0.184,1892,"tags=40%, list=9%, signal=44%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","Details ...",101,0.42245996,1.848484,0,0.004654343,0.045,5248,"tags=46%, list=26%, signal=61%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_N_GLYCAN_BIOSYNTHESIS","KEGG_N_GLYCAN_BIOSYNTHESIS","Details ...",46,0.496483,1.8438141,0,0.004584883,0.049,5266,"tags=59%, list=26%, signal=79%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION","KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION","",21,0.5910703,1.8412813,0.0028328612,0.010601853,0.206,2350,"tags=57%, list=11%, signal=64%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","Details ...",193,0.3803712,1.8320792,0,0.00050625,0.002,3602,"tags=37%, list=18%, signal=44%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION","KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION","",21,0.5858731,1.8256639,0,0.012246472,0.241,2350,"tags=57%, list=11%, signal=64%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS","Details ...",22,0.5734229,1.8251683,0,0.005208902,0.061,5003,"tags=55%, list=24%, signal=72%",NA,"Up_in_Tumor","KEGG_Legacy"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","Details ...",190,0.37366915,1.7870106,0,0.0012356644,0.006,3626,"tags=37%, list=18%, signal=45%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT","KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT","",18,0.6020503,1.768613,0.0026737968,0.018830292,0.363,2350,"tags=61%, list=11%, signal=69%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","Details ...",195,0.3669942,1.7391392,0,0.0014757343,0.008,4132,"tags=45%, list=20%, signal=55%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS","KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS","",24,0.53227717,1.7307113,0.0054347827,0.026278447,0.49,2013,"tags=33%, list=10%, signal=37%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE","KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE","",16,0.59519815,1.7207063,0.01344086,0.027619172,0.513,2072,"tags=38%, list=10%, signal=42%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR","KEGG_NUCLEOTIDE_EXCISION_REPAIR","Details ...",44,0.45553902,1.7177004,0.0068259384,0.013856278,0.164,4407,"tags=43%, list=21%, signal=55%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION","Details ...",53,0.4344882,1.6901563,0,0.016685674,0.21,3262,"tags=42%, list=16%, signal=49%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","",16,0.5876945,1.6892276,0.013333334,0.035139136,0.611,1690,"tags=31%, list=8%, signal=34%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","Details ...",196,0.34637132,1.6802083,0,0.002213414,0.014,3217,"tags=31%, list=16%, signal=36%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE","KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE","",15,0.57866853,1.6698294,0.017766498,0.03914527,0.663,1697,"tags=40%, list=8%, signal=44%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS","KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS","",18,0.5606369,1.6694155,0.013623978,0.038026832,0.663,2350,"tags=56%, list=11%, signal=63%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION","KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION","",29,0.47700527,1.6148344,0.005988024,0.055689707,0.793,3363,"tags=38%, list=16%, signal=45%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S","KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S","",15,0.5542033,1.5800378,0.028871391,0.06822699,0.865,5056,"tags=67%, list=25%, signal=88%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_LYSOSOME","KEGG_LYSOSOME","Details ...",118,0.35050076,1.5666181,0,0.04332849,0.496,6092,"tags=42%, list=30%, signal=60%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_N_GLYCAN_BIOSYNTHESIS","KEGG_MEDICUS_REFERENCE_N_GLYCAN_BIOSYNTHESIS","",16,0.53655565,1.5613699,0.026954178,0.07524101,0.895,3143,"tags=50%, list=15%, signal=59%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_OOCYTE_MEIOSIS","KEGG_OOCYTE_MEIOSIS","Details ...",110,0.35456255,1.5602815,0.004784689,0.04275347,0.514,3172,"tags=27%, list=15%, signal=32%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE","Details ...",99,0.35505435,1.5584159,0.003690037,0.040843397,0.519,5248,"tags=43%, list=26%, signal=58%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_STEROID_BIOSYNTHESIS","KEGG_STEROID_BIOSYNTHESIS","Details ...",15,0.54757464,1.5470767,0.02688172,0.042365685,0.554,4482,"tags=53%, list=22%, signal=68%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION","KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION","",24,0.46908924,1.5352271,0.03794038,0.08741557,0.928,2350,"tags=42%, list=11%, signal=47%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","Details ...",25,0.46093643,1.5146099,0.038348082,0.050935313,0.638,2013,"tags=32%, list=10%, signal=35%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY","",24,0.4785485,1.5140294,0.034383953,0.09782247,0.953,3065,"tags=50%, list=15%, signal=59%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT","",22,0.48544148,1.5034223,0.051490515,0.10196042,0.964,2950,"tags=55%, list=14%, signal=64%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT","",17,0.5157303,1.4978304,0.055702917,0.103206046,0.967,2950,"tags=59%, list=14%, signal=69%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE","KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE","",29,0.44010004,1.4885819,0.027190333,0.10610023,0.974,2795,"tags=38%, list=14%, signal=44%",NA,"Up_in_Tumor","KEGG_Medicus"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","Details ...",104,0.34469414,1.4747835,0.004385965,0.0158118,0.09,3789,"tags=36%, list=18%, signal=43%",NA,"Up_in_Tumor","Hallmark"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","Details ...",92,0.34024817,1.4704348,0.0040983604,0.015185617,0.093,4698,"tags=43%, list=23%, signal=56%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS","",49,0.37440255,1.4664121,0.032894738,0.11963238,0.986,5780,"tags=51%, list=28%, signal=71%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_P53_SIGNALING_PATHWAY","KEGG_P53_SIGNALING_PATHWAY","Details ...",65,0.3640206,1.4606926,0.022988506,0.0720869,0.772,2942,"tags=29%, list=14%, signal=34%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","",85,0.3434769,1.4561014,0.020408163,0.07113142,0.783,3299,"tags=31%, list=16%, signal=36%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119","KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119","",20,0.47678056,1.4505231,0.05699482,0.1277726,0.989,5544,"tags=70%, list=27%, signal=96%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT","KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT","",28,0.4323878,1.4499044,0.054755043,0.12560004,0.989,2971,"tags=43%, list=14%, signal=50%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY","",28,0.4311398,1.4453404,0.060240965,0.12648997,0.989,3065,"tags=43%, list=15%, signal=50%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION","KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION","",16,0.49778554,1.4282368,0.08469945,0.1358088,0.991,6060,"tags=63%, list=30%, signal=89%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_SELENOAMINO_ACID_METABOLISM","KEGG_SELENOAMINO_ACID_METABOLISM","",24,0.4554621,1.4249864,0.072,0.083502375,0.851,2298,"tags=25%, list=11%, signal=28%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM","",32,0.40130264,1.4175512,0.05079365,0.08412472,0.861,1711,"tags=28%, list=8%, signal=31%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT","KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT","",22,0.44013813,1.4174552,0.04896907,0.14115742,0.995,2350,"tags=41%, list=11%, signal=46%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_BLADDER_CANCER","KEGG_BLADDER_CANCER","",40,0.37888375,1.3886732,0.079872206,0.09810772,0.914,3030,"tags=35%, list=15%, signal=41%",NA,"Up_in_Tumor","KEGG_Legacy"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","Details ...",95,0.31958526,1.3872503,0.019379845,0.026685176,0.176,4590,"tags=40%, list=22%, signal=51%",NA,"Up_in_Tumor","Hallmark"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT","KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT","",17,0.47214946,1.3843471,0.082474224,0.16699046,0.999,3343,"tags=59%, list=16%, signal=70%",NA,"Up_in_Tumor","KEGG_Medicus"
